Rank,Name,Tm,League,Year,Vote.Pts,X1st.Place,Share,WAR,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO
3,Frank Robinson,BAL,AL,1969,162,2,48%,7.5,148,539,111,166,32,100,9,88,0.308,0.415,0.54,0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Frank Howard,WSA,AL,1969,115,0,34%,5.7,161,592,111,175,48,111,1,102,0.296,0.402,0.574,0.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Reggie Jackson,OAK,AL,1969,110,0,33%,9.2,152,549,123,151,47,118,13,114,0.275,0.41,0.608,1.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Denny McLain,DET,AL,1969,85,0,25%,7.8,42,106,5,17,0,8,0,4,0.16,0.188,0.16,0.348,24,9,2.8,1.092,42,41,0,325,288,25,67,181
7,Rico Petrocelli,BOS,AL,1969,71,0,21%,10,154,535,92,159,40,97,3,98,0.297,0.403,0.589,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Mike Cuellar,BAL,AL,1969,55,0,16%,3.9,39,103,6,12,0,5,0,0,0.117,0.114,0.165,0.279,23,11,2.38,1.005,39,39,0,290.2,213,18,79,182
9,Jim Perry,MIN,AL,1969,40,0,12%,6.5,47,93,8,16,0,7,0,3,0.172,0.204,0.226,0.43,20,6,2.82,1.185,46,36,0,261.2,244,18,66,153
1,Boog Powell,BAL,AL,1970,234,11,70%,5.1,154,526,82,156,35,114,1,104,0.297,0.412,0.549,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,Tony Oliva,MIN,AL,1970,157,5,47%,7,157,628,96,204,23,107,5,38,0.325,0.364,0.514,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,Harmon Killebrew,MIN,AL,1970,152,1,45%,4.9,157,527,96,143,41,113,0,128,0.271,0.411,0.546,0.957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Carl Yastrzemski,BOS,AL,1970,136,2,40%,9.5,161,566,125,186,40,102,23,128,0.329,0.452,0.592,1.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Frank Howard,WSA,AL,1970,91,1,27%,4.6,161,566,90,160,44,126,1,132,0.283,0.416,0.546,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,Tommy Harper,MIL,AL,1970,78,1,23%,7.4,154,604,104,179,31,82,38,77,0.296,0.377,0.522,0.899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Brooks Robinson,BAL,AL,1970,75,2,22%,3.9,158,608,84,168,18,94,1,53,0.276,0.335,0.429,0.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,Alex Johnson,CAL,AL,1970,70,0,21%,3.7,156,614,85,202,14,86,17,35,0.329,0.37,0.459,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,Jim Perry,MIN,AL,1970,63,0,19%,4.5,41,97,9,24,1,6,0,1,0.247,0.253,0.32,0.572,24,12,3.04,1.13,40,40,0,278.2,258,20,57,168
1,Vida Blue,OAK,AL,1971,268,14,80%,8.5,39,102,6,12,0,2,0,4,0.118,0.167,0.127,0.294,24,8,1.82,0.952,39,39,0,312,209,19,88,301
